Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,86338,2014,9,8,15.2
IDCJAC0016,86338,2014,9,9,8
IDCJAC0016,86338,2014,9,10,13
IDCJAC0016,86338,2014,9,11,14.4
IDCJAC0016,86338,2014,9,12,15.2
IDCJAC0016,86338,2014,9,13,18
IDCJAC0016,86338,2014,9,14,17.6
IDCJAC0016,86338,2014,9,15,7.8
IDCJAC0016,86338,2014,9,16,3.4
IDCJAC0016,86338,2014,9,17,14.4
IDCJAC0016,86338,2014,9,18,13.7
IDCJAC0016,86338,2014,9,19,12.1
IDCJAC0016,86338,2014,9,20,17.6
IDCJAC0016,86338,2014,9,21,18.5
IDCJAC0016,86338,2014,9,22,20.2
IDCJAC0016,86338,2014,9,23,18.8
IDCJAC0016,86338,2014,9,24,11.4
IDCJAC0016,86338,2014,9,25,10.5
IDCJAC0016,86338,2014,9,26,18.3
IDCJAC0016,86338,2014,9,27,19.3
IDCJAC0016,86338,2014,9,28,19
IDCJAC0016,86338,2014,9,29,19.1
IDCJAC0016,86338,2014,9,30,12.1
IDCJAC0016,86338,2014,10,1,16.6
IDCJAC0016,86338,2014,10,2,9.1
IDCJAC0016,86338,2014,10,3,18.7
IDCJAC0016,86338,2014,10,4,21.2
IDCJAC0016,86338,2014,10,5,20.8
IDCJAC0016,86338,2014,10,6,2.8
IDCJAC0016,86338,2014,10,7,16.7
IDCJAC0016,86338,2014,10,8,10.7
IDCJAC0016,86338,2014,10,9,21.6
IDCJAC0016,86338,2014,10,10,10.9
IDCJAC0016,86338,2014,10,11,18.2
IDCJAC0016,86338,2014,10,12,21.9
IDCJAC0016,86338,2014,10,13,16.2
IDCJAC0016,86338,2014,10,14,20.5
IDCJAC0016,86338,2014,10,15,17.9
IDCJAC0016,86338,2014,10,16,13.7
IDCJAC0016,86338,2014,10,17,25.2
IDCJAC0016,86338,2014,10,18,15.7
IDCJAC0016,86338,2014,10,19,16.9
IDCJAC0016,86338,2014,10,20,26.4
IDCJAC0016,86338,2014,10,21,25.8
IDCJAC0016,86338,2014,10,22,23.5
IDCJAC0016,86338,2014,10,23,12
IDCJAC0016,86338,2014,10,24,23.3
IDCJAC0016,86338,2014,10,25,18.4
IDCJAC0016,86338,2014,10,26,18.6
IDCJAC0016,86338,2014,10,27,16.4
IDCJAC0016,86338,2014,10,28,12.2
IDCJAC0016,86338,2014,10,29,20.6
IDCJAC0016,86338,2014,10,30,23.8
IDCJAC0016,86338,2014,10,31,24.1
IDCJAC0016,86338,2014,11,1,19.8
IDCJAC0016,86338,2014,11,2,19.9
IDCJAC0016,86338,2014,11,3,26.1
IDCJAC0016,86338,2014,11,4,18.4
IDCJAC0016,86338,2014,11,5,25.8
IDCJAC0016,86338,2014,11,6,28
IDCJAC0016,86338,2014,11,7,28.6
IDCJAC0016,86338,2014,11,8,27.3
IDCJAC0016,86338,2014,11,9,29
IDCJAC0016,86338,2014,11,10,26.2
IDCJAC0016,86338,2014,11,11,25.8
IDCJAC0016,86338,2014,11,12,29.9
